Code,Family,Species,Sex,Location,Total_body_length,Prosoma_length,Prosoma_width,Prosoma_height,Tibia_I_length,Fang_length
3095,Lycosidae,Alopecosa_kulczynskii ,male,Canary Is.,5.500,2.955,2.182,0.864,_,0.515
PO1PD,Lycosidae,Alopecosa_pulverulenta,male,Iberian Pen.,6.200,_,_,_,_,_
PP2PF,Lycosidae,Alopecosa_pulverulenta,male,Iberian Pen.,7.440,_,_,_,_,_
PP4PB,Lycosidae,Alopecosa_pulverulenta,male,Iberian Pen.,7.680,_,_,_,_,_
PP4PD,Lycosidae,Alopecosa_pulverulenta,male,Iberian Pen.,6.960,3.900,2.880,2.280,1.630,0.670
PP3PL,Lycosidae,Alopecosa_pulverulenta,male,Iberian Pen.,6.880,_,_,_,_,_
PP2PD,Lycosidae,Alopecosa_pulverulenta,female,Iberian Pen.,10.130,_,_,_,_,_
PP2PD,Lycosidae,Alopecosa_pulverulenta,female,Iberian Pen.,9.200,4.180,2.970,2.500,1.920,0.850
PP2PC,Lycosidae,Alopecosa_pulverulenta,female,Iberian Pen.,9.730,_,_,_,_,_
PP2PC,Lycosidae,Alopecosa_pulverulenta,female,Iberian Pen.,8.730,_,_,_,_,_
PP2PC,Lycosidae,Alopecosa_pulverulenta,female,Iberian Pen.,8.670,_,_,_,_,_
PS1PF,Lycosidae,Alopecosa_simoni,female,Iberian Pen.,7.700,4.150,2.910,2.380,1.780,0.870
3107,Lycosidae,Alopecosa_sp.,female,Canary Is.,10.857,5.071,3.714,1.471,2.571,1.147
PS1PK,Uloboridae,Amphiledorus_Zodariidae28,male,Iberian Pen.,5.960,3.000,1.980,0.770,1.290,0.350
PS2PC,Uloboridae,Amphiledorus_Zodariidae40,male,Iberian Pen.,5.240,2.760,1.790,0.850,1.220,0.320
PS2PL,Uloboridae,Amphiledorus_Zodariidae40,female,Iberian Pen.,5.750,2.930,1.770,1.000,1.250,0.360
PP1B1D1,Theridiidae,Anelosimus_vittatus,male,Iberian Pen.,2.550,1.350,1.050,_,_,_
PP1S1D1,Theridiidae,Anelosimus_vittatus,male,Iberian Pen.,2.570,1.330,1.040,_,_,_
PP1S1N2,Theridiidae,Anelosimus_vittatus,male,Iberian Pen.,2.400,1.310,1.020,0.320,1.680,0.320
PP1S1N2,Theridiidae,Anelosimus_vittatus,male,Iberian Pen.,2.900,1.350,1.040,_,_,_
PP1S2D1,Theridiidae,Anelosimus_vittatus,male,Iberian Pen.,2.550,1.350,1.050,_,_,_
PP1A2N2,Theridiidae,Anelosimus_vittatus,female,Iberian Pen.,_,1.140,0.940,_,_,_
PP1G1D1,Theridiidae,Anelosimus_vittatus,female,Iberian Pen.,2.480,1.280,1.060,0.390,1.360,0.320
PP1S2D1,Theridiidae,Anelosimus_vittatus,female,Iberian Pen.,2.850,1.290,1.000,_,_,_
PP4B2D1,Theridiidae,Anelosimus_vittatus,female,Iberian Pen.,2.440,1.210,1.090,_,_,_
PP4B2D1,Theridiidae,Anelosimus_vittatus,female,Iberian Pen.,3.070,1.430,1.090,_,_,_
PO1A2N2,Anyphaenidae,Anyphaena_accentuata,male,Iberian Pen.,5.909,2.636,2.045,0.591,_,0.614
PO1B1N2,Anyphaenidae,Anyphaena_accentuata,male,Iberian Pen.,6.273,2.909,2.182,0.682,4.682,0.727
PA2A1N2,Anyphaenidae,Anyphaena_accentuata,male,Iberian Pen.,6.273,2.773,2.182,0.545,_,0.705
PA2B1D1,Anyphaenidae,Anyphaena_accentuata,male,Iberian Pen.,5.455,2.591,1.955,0.591,_,0.636
PO1B2D1,Anyphaenidae,Anyphaena_accentuata,male,Iberian Pen.,3.773,1.727,1.273,0.409,1.727,0.636
PO1A1N1,Anyphaenidae,Anyphaena_accentuata,female,Iberian Pen.,8.818,3.091,2.227,0.545,3.091,0.568
PO1S2D1,Anyphaenidae,Anyphaena_accentuata,female,Iberian Pen.,6.318,2.500,2.000,0.545,2.591,0.500
PP4A2N2,Anyphaenidae,Anyphaena_accentuata,female,Iberian Pen.,7.455,2.682,2.091,0.545,_,0.568
PP2A1N2,Anyphaenidae,Anyphaena_accentuata,female,Iberian Pen.,7.000,2.682,2.045,0.500,2.682,0.545
PO1S1N1,Anyphaenidae,Anyphaena_accentuata,female,Iberian Pen.,7.409,2.818,2.091,0.636,2.818,0.545
PS2PB,Anyphaenidae,Anyphaena_sabina,male,Iberian Pen.,4.682,1.864,1.455,0.545,2.000,0.386
3013,Liocranidae,Apostenus_annulipedes,male,Canary Is.,2.273,1.091,0.909,0.273,0.889,0.152
2784,Liocranidae,Apostenus_annulipedes,male,Canary Is.,2.227,1.045,0.864,0.273,0.815,0.167
3021,Liocranidae,Apostenus_annulipedes,male,Canary Is.,2.136,0.955,0.818,0.273,0.852,0.136
254,Liocranidae,Apostenus_annulipedes,male,Canary Is.,2.091,0.955,0.909,0.273,0.778,0.121
3021,Liocranidae,Apostenus_annulipedes,male,Canary Is.,2.136,1.045,0.909,0.273,0.852,0.167
608,Liocranidae,Apostenus_annulipedes,female,Canary Is.,2.727,0.955,0.864,0.409,0.778,0.152
608,Liocranidae,Apostenus_annulipedes,female,Canary Is.,2.364,1.091,0.909,0.364,0.889,0.167
608,Liocranidae,Apostenus_annulipedes,female,Canary Is.,2.955,1.000,1.000,0.500,0.963,0.212
248,Liocranidae,Apostenus_annulipedes,female,Canary Is.,2.545,1.091,0.955,0.318,0.852,0.152
3002,Liocranidae,Apostenus_annulipedes,female,Canary Is.,2.318,0.955,0.864,0.227,0.852,0.167
PC1S1N2,Araneidae,Araneus_angulatus,female,Iberian Pen.,10.143,5.143,4.429,1.357,5.357,1.250
PC3A2N1,Araneidae,Araneus_angulatus,female,Iberian Pen.,12.818,5.857,4.929,1.500,6.286,0.909
PC1A1N2,Araneidae,Araneus_angulatus,female,Iberian Pen.,14.884,6.000,5.643,1.357,6.786,1.000
PC2S1N2,Araneidae,Araneus_angulatus,female,Iberian Pen.,14.535,4.071,3.714,1.286,4.286,0.977
3090,Araneidae,Araneus_bufo,female,Canary Is.,12.714,5.000,4.091,1.727,5.818,0.955
PC3B1N2,Araneidae,Araneus_grossus,male,Iberian Pen.,9.429,4.857,4.429,1.143,5.571,0.727
PO1S1N2,Araneidae,Araneus_sturmi,male,Iberian Pen.,_,1.636,1.455,0.273,1.500,0.212
PO2B2D1,Araneidae,Araneus_sturmi,male,Iberian Pen.,3.409,1.682,1.409,0.273,1.545,0.227
PO1S1N2,Araneidae,Araneus_sturmi,female,Iberian Pen.,3.818,1.409,1.182,0.273,1.273,0.197
PO1S2D1,Araneidae,Araneus_sturmi,female,Iberian Pen.,3.409,1.409,1.227,0.318,1.318,0.212
PO2B1N1,Araneidae,Araneus_sturmi,female,Iberian Pen.,3.909,1.500,1.273,0.273,1.318,0.182
PO2B1N1,Araneidae,Araneus_sturmi,female,Iberian Pen.,3.864,1.545,1.273,0.318,1.318,0.182
PO1B2D1,Araneidae,Araneus_sturmi,female,Iberian Pen.,5.545,1.682,1.500,0.364,1.682,0.303
PO1B2D1,Araneidae,Araneus_triguttatus,female,Iberian Pen.,5.545,1.682,1.500,0.364,1.500,0.303
PA1S1N1,Araneidae,Araniella_alpica,male,Iberian Pen.,4.571,2.000,1.786,0.357,1.714,0.364
PA2S1N2,Araneidae,Araniella_alpica,male,Iberian Pen.,4.071,1.929,1.071,0.500,1.500,0.318
PP1S1D1,Araneidae,Araniella_alpica,female,Iberian Pen.,6.071,2.214,2.143,0.643,1.857,0.500
PA1B1N1,Araneidae,Araniella_alpica,female,Iberian Pen.,5.500,2.357,2.143,0.571,2.071,0.523
PA1A1N1,Araneidae,Araniella_alpica,female,Iberian Pen.,6.786,2.357,1.857,0.357,1.786,0.432
PA2S2D1,Araneidae,Araniella_cucurbitina,female,Iberian Pen.,4.571,2.000,1.786,0.500,1.786,0.432
PA2S2D1,Araneidae,Araniella_cucurbitina,male,Iberian Pen.,4.071,2.071,2.000,0.500,1.786,0.318
PC3A1N1,Araneidae,Araniella_cucurbitina,male,Iberian Pen.,4.143,2.071,2.071,0.500,1.857,0.364
PP4B1N1,Araneidae,Araniella_cucurbitina,male,Iberian Pen.,4.571,2.214,1.929,0.429,1.786,0.273
PO2A1N1,Araneidae,Araniella_cucurbitina,male,Iberian Pen.,4.143,2.071,1.929,0.429,1.786,0.250
PS1A2N1,Araneidae,Araniella_cucurbitina,male,Iberian Pen.,4.071,1.857,1.857,0.500,1.643,0.250
PC3A1N2,Araneidae,Araniella_cucurbitina,female,Iberian Pen.,6.643,2.643,2.000,0.429,2.000,0.477
PO1A1N2,Araneidae,Araniella_cucurbitina,female,Iberian Pen.,5.143,2.143,1.929,0.429,1.500,0.386
PP4S2D1,Araneidae,Araniella_cucurbitina,female,Iberian Pen.,5.714,2.000,1.786,0.357,1.500,0.409
PS1S1N2,Araneidae,Araniella_cucurbitina,female,Iberian Pen.,4.214,1.857,1.643,0.500,1.643,0.455
12427,Araneidae,Araniella_maderiana,male,Canary Is.,2.820,_,_,_,_,_
12452,Araneidae,Araniella_maderiana,male,Canary Is.,3.950,_,_,_,_,_
12452,Araneidae,Araniella_maderiana,male,Canary Is.,3.640,1.590,1.360,0.450,1.180,0.240
S01,Araneidae,Araniella_maderiana,female,Madeira,5.412,_,_,_,_,_
S02,Araneidae,Araniella_maderiana,female,Madeira,6.529,_,_,_,_,_
S02,Araneidae,Araniella_maderiana,female,Madeira,6.059,2.294,1.882,0.412,1.706,0.455
S03,Araneidae,Araniella_maderiana,female,Madeira,5.647,2.118,_,_,_,_
12427,Araneidae,Araniella_maderiana,female,Canary Is.,5.180,_,_,_,_,_
PO1S2D1,Araneidae,Araniella_opisthographa,male,Iberian Pen.,4.074,1.926,1.815,0.556,1.667,0.273
PS1A2N1,Araneidae,Araniella_opisthographa,male,Iberian Pen.,3.519,1.704,1.704,0.667,1.481,0.212
PS1B2D1,Araneidae,Araniella_opisthographa,male,Iberian Pen.,3.926,1.889,1.778,0.519,1.519,0.227
PS2S1N2,Araneidae,Araniella_opisthographa,male,Iberian Pen.,4.037,1.889,1.852,0.519,1.481,0.288
PS2A1N2,Araneidae,Araniella_opisthographa,male,Iberian Pen.,3.630,1.815,1.704,0.593,1.444,0.242
PP4S1D1,Araneidae,Araniella_opisthographa,female,Iberian Pen.,5.455,2.111,1.963,0.556,1.667,0.485
PO1B2D1,Araneidae,Araniella_opisthographa,female,Iberian Pen.,4.296,1.593,1.556,0.407,1.111,0.318
PP1B2D1,Araneidae,Araniella_opisthographa,female,Iberian Pen.,4.815,2.185,2.074,0.630,1.667,0.379
PS1B1D1,Araneidae,Araniella_opisthographa,female,Iberian Pen.,3.889,1.852,1.630,0.481,1.370,0.318
PS2S1N1,Araneidae,Araniella_opisthographa,female,Iberian Pen.,5.444,2.333,2.037,0.630,1.667,0.455
PC4PA,Lycosidae,Arctosa_lacustris,male,Iberian Pen.,6.130,3.560,2.590,2.060,1.600,0.820
PO2PD,Lycosidae,Arctosa_personata,male,Iberian Pen.,6.880,3.700,2.590,2.190,1.950,0.670
PO2PB,Lycosidae,Arctosa_personata,female,Iberian Pen.,7.900,4.100,3.000,2.250,1.830,0.700
PC1PA,Lycosidae,Arctosa_variana,female,Iberian Pen.,6.560,2.800,2.310,1.880,1.220,0.530
PS2PH,Lycosidae,Arctosa_villica,female,Iberian Pen.,10.270,5.560,3.960,3.200,2.400,1.120
PS2PB,Lycosidae,Arctosa_villica,female,Iberian Pen.,8.670,_,_,_,_,_
PC1PF,Lycosidae,Arctosa_villica,female,Iberian Pen.,12.670,_,_,_,_,_
PC4PA,Lycosidae,Arctosa_villica,female,Iberian Pen.,"11,67*",_,_,_,_,_
PC1PK,Lycosidae,Arctosa_villica,female,Iberian Pen.,8.800,_,_,_,_,_
PS2PE,Theridiidae,Asagena_phalerata,male,Iberian Pen.,4.900,2.500,1.890,0.690,1.140,0.450
PO2PI,Lycosidae,Aulonia_albimana,male,Iberian Pen.,4.400,_,_,_,_,_
PO2PI,Lycosidae,Aulonia_albimana,male,Iberian Pen.,4.150,_,_,_,_,_
PO2PI,Lycosidae,Aulonia_albimana,male,Iberian Pen.,4.250,2.230,1.140,1.400,1.150,0.280
PO2PI,Lycosidae,Aulonia_albimana,male,Iberian Pen.,3.750,_,_,_,_,_
PA2PL,Salticidae,Ballus_chalybeius,male,Iberian Pen.,3.510,1.740,1.350,_,_,_
PC3PH,Salticidae,Ballus_chalybeius,male,Iberian Pen.,3.090,1.290,1.480,0.730,0.600,0.280
PO1B1N2,Salticidae,Ballus_chalybeius,male,Iberian Pen.,3.030,1.460,1.210,_,_,_
PO1B2D1,Salticidae,Ballus_chalybeius,male,Iberian Pen.,3.500,1.720,1.420,_,_,_
PP3B1D1,Salticidae,Ballus_chalybeius,male,Iberian Pen.,3.700,1.710,1.340,_,_,_
PA1B1D1,Salticidae,Ballus_chalybeius,female,Iberian Pen.,4.060,1.590,1.340,0.730,0.470,0.230
PC1B2D1,Salticidae,Ballus_chalybeius,female,Iberian Pen.,3.340,1.460,1.230,_,_,_
PM1B1D1,Salticidae,Ballus_chalybeius,female,Iberian Pen.,4.060,1.470,1.240,_,_,_
PO2B1D1,Salticidae,Ballus_chalybeius,female,Iberian Pen.,3.580,1.450,1.240,_,_,_
PP2B1N2,Salticidae,Ballus_chalybeius,female,Iberian Pen.,3.340,1.290,1.120,_,_,_
PA2PJ,Linyphidae,Bordea_negrei,male,Iberian Pen.,1.640,0.830,0.770,0.280,_,0.180
PC2A2N2,Dictynidae,Brigittea_civica,male,Iberian Pen.,3.080,_,_,_,_,_
PM2A2N1,Dictynidae,Brigittea_civica,male,Iberian Pen.,3.140,_,_,_,_,_
PS2B1D1,Dictynidae,Brigittea_civica,male,Iberian Pen.,2.840,1.330,1.000,1.000,0.720,0.250
PC2B2D1,Dictynidae,Brigittea_civica,male,Iberian Pen.,2.580,_,_,_,_,_
PM2S1D1,Dictynidae,Brigittea_civica,male,Iberian Pen.,2.440,_,_,_,_,_
PC3A1N2,Dictynidae,Brigittea_civica,female,Iberian Pen.,2.600,_,_,_,_,_
PM1B2D1,Dictynidae,Brigittea_civica,female,Iberian Pen.,3.660,_,_,_,_,_
PS2A2N1,Dictynidae,Brigittea_civica,female,Iberian Pen.,3.280,1.200,0.930,0.920,0.520,0.180
PC4A1N1,Dictynidae,Brigittea_civica,female,Iberian Pen.,2.560,_,_,_,_,_
PM2B2D1,Dictynidae,Brigittea_civica,female,Iberian Pen.,2.440,_,_,_,_,_
PM1A1N1,Dictynidae,Brigittea_Dictynidae04,male,Iberian Pen.,"2,330*",1.030,0.830,0.770,0.830,0.180
PC1S2D1,Dictynidae,Brigittea_Dictynidae04,male,Iberian Pen.,2.380,_,_,_,_,_
PC3A2N1,Dictynidae,Brigittea_Dictynidae04,male,Iberian Pen.,2.280,_,_,_,_,_
PC2S1N1,Dictynidae,Brigittea_latens,male,Iberian Pen.,_,_,_,_,_,_
PO1S2D1,Dictynidae,Brigittea_latens,male,Iberian Pen.,2.250,_,_,_,_,_
PP4B1D1,Dictynidae,Brigittea_latens,male,Iberian Pen.,2.350,_,_,_,_,_
PP2S1N2,Dictynidae,Brigittea_latens,male,Iberian Pen.,2.430,_,_,_,_,_
PC1S2D1,Dictynidae,Brigittea_latens,male,Iberian Pen.,2.340,0.920,0.730,0.670,0.650,0.180
PC2B2D1,Dictynidae,Brigittea_latens,female,Iberian Pen.,2.280,_,_,_,_,_
PC2S2D1,Dictynidae,Brigittea_latens,female,Iberian Pen.,2.100,_,_,_,_,_
PO2B1D1,Dictynidae,Brigittea_latens,female,Iberian Pen.,2.530,0.960,0.780,0.920,0.480,0.180
PO2S1D1,Dictynidae,Brigittea_latens,female,Iberian Pen.,2.590,_,_,_,_,_
PP4S1N2,Dictynidae,Brigittea_latens,female,Iberian Pen.,2.660,_,_,_,_,_
PS1PK,Gnaphosidae,Callilepis_concolor,male,Iberian Pen.,5.300,_,_,_,_,_
PS1PD,Gnaphosidae,Callilepis_concolor,male,Iberian Pen.,4.400,_,_,_,_,_
PS1PD,Gnaphosidae,Callilepis_concolor,male,Iberian Pen.,4.800,2.130,1.830,1.200,0.930,0.170
PC3PD,Gnaphosidae,Callilepis_concolor,male,Iberian Pen.,4.500,_,_,_,_,_
PC3PH,Gnaphosidae,Callilepis_concolor,male,Iberian Pen.,6.000,_,_,_,_,_
PC3PC,Gnaphosidae,Callilepis_concolor,female,Iberian Pen.,5.500,_,_,_,_,_
PC3PG,Gnaphosidae,Callilepis_concolor,female,Iberian Pen.,6.300,_,_,_,_,_
PC3PJ,Gnaphosidae,Callilepis_concolor,female,Iberian Pen.,5.600,2.340,1.970,1.410,1.230,0.250
PP2PE,Gnaphosidae,Callilepis_nocturna,male,Iberian Pen.,4.350,_,_,_,_,_
PP4PC,Gnaphosidae,Callilepis_nocturna,male,Iberian Pen.,"3,550*",_,_,_,_,_
PA1PC,Gnaphosidae,Callilepis_nocturna,male,Iberian Pen.,4.000,_,_,_,_,_
PA1PG,Gnaphosidae,Callilepis_nocturna,male,Iberian Pen.,3.630,1.530,1.300,0.920,0.750,0.150
PA2PB,Gnaphosidae,Callilepis_nocturna,male,Iberian Pen.,3.600,_,_,_,_,_
PA2PL,Gnaphosidae,Callilepis_nocturna,female,Iberian Pen.,5.440,1.880,1.450,1.010,0.750,0.180
PA1PI,Gnaphosidae,Callilepis_nocturna,female,Iberian Pen.,5.440,_,_,_,_,_
3096,Linyphiidae,Canariellanum_albidum,female,Canary Is.,2.382,0.971,0.765,0.176,0.735,0.091
12727,Linyphiidae,Canariellanum_albidum,female,Canary Is.,1.270,_,_,_,_,_
14682,Linyphiidae,Canariellanum_albidum,female,Canary Is.,2.180,_,_,_,_,_
S01,Linyphiidae,Canariellanum_n._sp.21,male,Madeira,1.432,0.614,0.477,0.182,0.364,0.136
S01,Linyphiidae,Canariellanum_n._sp.21,female,Madeira,1.545,0.614,_,_,_,_
S04,Linyphiidae,Canariellanum_n._sp.21,female,Madeira,1.568,0.636,0.523,0.182,0.364,0.136
50,Linyphiidae,Canariphantes_acoreensis,male,Azores,1.853,0.971,0.824,0.265,1.735,0.227
50,Linyphiidae,Canariphantes_acoreensis,male,Azores,1.912,0.941,0.735,0.324,2.059,0.258
50,Linyphiidae,Canariphantes_acoreensis,male,Azores,2.000,0.912,0.794,0.353,2.118,0.242
50,Linyphiidae,Canariphantes_acoreensis,male,Azores,1.765,0.912,0.765,0.294,1.941,0.242
50,Linyphiidae,Canariphantes_acoreensis,male,Azores,1.676,0.882,0.765,0.324,1.971,0.227
50,Linyphiidae,Canariphantes_acoreensis,female,Azores,3.088,1.294,1.059,0.382,_,0.318
50,Linyphiidae,Canariphantes_acoreensis,female,Azores,2.618,1.118,1.029,0.353,2.029,0.288
50,Linyphiidae,Canariphantes_acoreensis,female,Azores,2.471,1.147,0.941,0.441,1.735,0.288
50,Linyphiidae,Canariphantes_acoreensis,female,Azores,3.029,1.206,1.059,0.353,1.941,0.318
50,Linyphiidae,Canariphantes_acoreensis,female,Azores,3.176,1.235,1.059,0.441,1.971,0.348
PM1PA,Linyphidae,Canariphantes_zonatus,male,Iberian Pen.,1.220,0.700,0.570,0.260,_,0.130
PC2PA,Linyphidae,Canariphantes_zonatus,female,Iberian Pen.,1.600,0.790,0.630,0.250,0.740,0.180
PC2PL,Linyphidae,Canariphantes_zonatus,female,Iberian Pen.,1.690,0.750,0.630,_,_,_
PC3PE,Linyphidae,Canariphantes_zonatus,female,Iberian Pen.,1.790,0.740,0.610,0.250,0.740,0.140
PC3PF,Linyphidae,Canariphantes_zonatus,female,Iberian Pen.,1.630,0.760,0.600,0.270,_,0.160
PC4PK,Linyphidae,Canariphantes_zonatus,female,Iberian Pen.,1.770,0.760,0.620,0.280,_,0.140
PP1PF,Linyphidae,Centromerus_pabulator,female,Iberian Pen.,_,0.990,0.790,0.290,0.750,0.200
PP1PG,Linyphidae,Centromerus_pabulator,female,Iberian Pen.,_,1.020,0.770,0.310,0.800,0.260
PS1PI,Linyphidae,Centromerus_prudens,female,Iberian Pen.,1.780,0.840,0.610,0.240,_,0.190
PP1PE,Linyphidae,Centromerus_sellarius,female,Iberian Pen.,_,1.120,0.810,0.350,0.940,0.300
05S,Linyphiidae,Centromerus_variegatus,male,Madeira,2.136,0.909,0.773,0.182,1.045,0.152
S04,Linyphiidae,Centromerus_variegatus,female,Madeira,2.091,0.773,0.591,0.136,0.818,0.136
PO1PE,Linyphidae,Ceratinella_scabrosa,male,Iberian Pen.,2.150,0.920,0.830,0.380,0.540,0.140
PO1PF,Linyphidae,Ceratinella_scabrosa,male,Iberian Pen.,2.060,0.820,0.770,0.350,_,0.140
